absence_date,absence_reason,hours
2023-07-07,Annual Leave,7.4
2023-07-10,Annual Leave,7.4
2023-07-11,Annual Leave,7.4
2023-07-12,Annual Leave,7.4
2023-07-13,Annual Leave,7.4
2023-07-14,Annual Leave,7.4
2023-07-17,Annual Leave,7.4
2023-07-18,Annual Leave,7.4
2023-07-19,Annual Leave,7.4
2023-07-20,Annual Leave,7.4
2023-07-21,Annual Leave,7.4
2023-12-25,Annual Leave,7.4
2023-12-26,Annual Leave,7.4
2024-02-05,Annual Leave,7.4
2024-02-06,Annual Leave,7.4
2024-02-07,Annual Leave,7.4
2024-02-08,Annual Leave,7.4
2024-02-09,Annual Leave,7.4
2024-02-12,Annual Leave,7.4
2024-02-13,Annual Leave,7.4
2024-02-14,Annual Leave,7.4
2024-02-15,Annual Leave,7.4
2024-02-16,Annual Leave,7.4
2024-02-19,Annual Leave,7.4
2024-02-20,Annual Leave,7.4
2024-02-21,Annual Leave,7.4
2024-02-22,Annual Leave,7.4
2024-02-23,Annual Leave,7.4
2024-02-26,Annual Leave,7.4
2024-02-27,Annual Leave,7.4
2024-02-28,Annual Leave,7.4
2024-02-29,Annual Leave,7.4
2024-03-01,Annual Leave,7.4
2025-07-11,Annual Leave,7.4
2025-07-14,Annual Leave,7.4
2025-07-15,Annual Leave,7.4
2025-07-16,Annual Leave,7.4
2025-07-17,Annual Leave,7.4
2025-07-18,Annual Leave,7.4
2025-07-21,Annual Leave,7.4
2025-07-22,Annual Leave,7.4
